,이름,포지션,출전,클린시트,실점,태클 횟수,태클 성공률,슛 블록 횟수,인터셉트 횟수,걷어내기 횟수,해딩 걷어내기 횟수,라인 밖으로 걷어내기 횟수,볼 소유권 가져오기 횟수,경합 승리,경합 실패,공중볼 경합 승리,공중볼 경합 패배,자책골,실점으로 이어진 실책,어시스트,패스 횟수,경기당 평균 패스 횟수,결정적 기회 창출 횟수,크로스 횟수,크로스 성공률,스루패스 횟수,긴 패스 성공률,경고,퇴장,반칙,옵사이드,골,해딩 골,오른발 골,왼발 골,골포스트,경기당 골,페널티킥 골,프리킥 골,슈팅 횟수,유효 수팅,슈팅 성공률,결정적 찬스 놓친 횟수,선방,페널티킥 선방,펀칭,공중볼 처리,캐칭,던지기 횟수,골킥
554,Gary Madine ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
555,Harry Maguire ,수비수,38,13,36,37,62%,6,72,157,94,0,237,240,128,176,71,0,0,1,"2,519",66.29,2,2,0%,1,169,6,0,33,6,1,1,0,0,0,,,,,,,,,,,,,,
556,Connor Mahoney ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
557,Riyad Mahrez ,공격수,33,,,28,,23,18,7,1,,,,,,,,,9,"1,097",33.24,18,88,,,,0,0,13,13,11,0,3,8,1,0.33,1,2,74,32,43%,5,,,,,,,
558,Archie Mair ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
559,Ainsley Maitland-Niles ,미드필더,20,,,41,56%,1,28,32,12,,86,90,81,17,12,,0,2,840,42,2,18,33%,2,35,4,1,15,0,0,0,0,0,0,0,0,0,4,1,25%,1,,,,,,,
560,Sadio Man챕 ,공격수,35,,,44,,11,13,7,3,,,,,,,,,7,"1,104",31.54,10,49,,,,3,0,46,14,18,2,11,5,2,0.51,0,0,77,36,47%,18,,,,,,,
561,Eliaquim Mangala ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
562,Javier Manquillo ,수비수,21,6,21,39,67%,1,18,48,20,0,83,79,61,16,16,0,0,1,475,22.62,0,45,11%,0,17,5,0,18,1,0,0,0,0,0,,,,,,,,,,,,,,
563,Marc Guehi ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
564,Solly March ,미드필더,19,,,25,48%,6,20,10,5,,63,67,82,15,20,,0,1,492,25.89,1,67,19%,1,25,2,0,10,2,0,0,0,0,0,0,0,0,21,8,38%,1,,,,,,,
565,Pablo Mar챠 ,수비수,2,1,0,2,50%,0,1,9,6,0,9,6,4,4,3,0,0,0,100,50,0,0,0%,0,8,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
566,Adrian Mariappa ,수비수,20,3,33,20,70%,1,11,68,35,0,49,70,72,42,30,1,0,0,462,23.1,0,22,23%,0,25,4,1,20,2,0,0,0,0,0,,,,,,,,,,,,,,
567,Lazar Markovic ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
568,Christian Marques ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
569,George Marsh ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
570,Ben Marshall ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
571,Anthony Martial ,공격수,32,,,15,,21,5,15,10,,,,,,,,,6,712,22.25,8,11,,,,1,0,28,12,17,2,12,3,2,0.53,0,0,80,40,50%,10,,,,,,,
572,Josh Martin ,미드필더,5,,,1,0%,0,1,0,0,,2,1,1,0,0,,0,0,15,3,0,0,0%,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,100%,0,,,,,,,
573,Emiliano Mart챠nez ,골키퍼,9,3,9,,,,,,,,,,,,,0,0,0,245,27.22,,,,,33,2,0,0,,0,,,,,,,,,,,,34,0,1,8,4,48,61
